,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB
Kevin De Bruyne,"€ 452,950","€ 23,553,419","€ 23,553,419",F,32,Belgium,Manchester City
Erling Haaland,"€ 424,641","€ 22,081,330","€ 22,081,330",F,23,Norway,Manchester City
Casemiro,"€ 396,332","€ 20,609,241","€ 20,609,241",M,31,Brazil,Manchester United
Mohamed Salah,"€ 396,332","€ 20,609,241","€ 20,609,241",F,31,Egypt,Liverpool
Raphaël Varane,"€ 385,008","€ 20,020,406","€ 20,020,406",D,30,France,Manchester United
Raheem Sterling,"€ 368,022","€ 19,137,153","€ 19,137,153",F,29,England,Chelsea
Marcus Rashford,"€ 339,713","€ 17,665,064","€ 17,665,064",F,26,England,Manchester United
Jack Grealish,"€ 339,713","€ 17,665,064","€ 17,665,064",F,28,England,Manchester City
Bernardo Silva,"€ 339,713","€ 17,665,064","€ 17,665,064",F,29,Portugal,Manchester City
Kai Havertz,"€ 317,065","€ 16,487,393","€ 16,487,393",F,24,Germany,Arsenal
Gabriel Jesus,"€ 300,080","€ 15,604,140","€ 15,604,140",F,26,Brazil,Arsenal
Anthony Martial,"€ 283,094","€ 14,720,887","€ 14,720,887",F,28,France,Manchester United
Reece James,"€ 283,094","€ 14,720,887","€ 14,720,887",D,24,England,Chelsea
John Stones,"€ 283,094","€ 14,720,887","€ 14,720,887",D,29,England,Manchester City
Declan Rice,"€ 271,770","€ 14,132,051","€ 14,132,051",M,25,England,Arsenal
Martin Ødegaard,"€ 271,770","€ 14,132,051","€ 14,132,051",F,25,Norway,Arsenal
Bruno Fernandes,"€ 271,770","€ 14,132,051","€ 14,132,051",F,29,Portugal,Manchester United
Phil Foden,"€ 254,785","€ 13,248,798","€ 13,248,798",F,23,England,Manchester City
Rodri,"€ 249,123","€ 12,954,380","€ 12,954,380",M,27,Spain,Manchester City
Virgil van Dijk,"€ 249,123","€ 12,954,380","€ 12,954,380",D,32,Netherlands,Liverpool
Mason Mount,"€ 226,475","€ 11,776,709","€ 11,776,709",F,25,England,Manchester United
Josko Gvardiol,"€ 226,475","€ 11,776,709","€ 11,776,709",D,22,Croatia,Manchester City
Thiago,"€ 226,475","€ 11,776,709","€ 11,776,709",M,32,Spain,Liverpool
Ben Chilwell,"€ 226,475","€ 11,776,709","€ 11,776,709",D,27,England,Chelsea
Wesley Fofana,"€ 226,475","€ 11,776,709","€ 11,776,709",D,23,France,Chelsea
Thomas Partey,"€ 226,475","€ 11,776,709","€ 11,776,709",M,30,Ghana,Arsenal
Jadon Sancho,"€ 220,813","€ 11,482,292","€ 11,482,292",F,23,England,Manchester United
Bukayo Saka,"€ 220,813","€ 11,482,292","€ 11,482,292",F,22,England,Arsenal
Christopher Nkunku,"€ 220,813","€ 11,482,292","€ 11,482,292",F,26,France,Chelsea
William Saliba,"€ 215,151","€ 11,187,874","€ 11,187,874",D,22,France,Arsenal
Heung-min Son,"€ 215,151","€ 11,187,874","€ 11,187,874",F,31,South Korea,Tottenham
Harry Maguire,"€ 215,151","€ 11,187,874","€ 11,187,874",D,30,England,Manchester United
Enzo Fernández,"€ 203,828","€ 10,599,038","€ 10,599,038",M,23,Argentina,Chelsea
Rúben Dias,"€ 203,828","€ 10,599,038","€ 10,599,038",D,26,Portugal,Manchester City
Gabriel Martinelli,"€ 203,828","€ 10,599,038","€ 10,599,038",F,22,Brazil,Arsenal
Ivan Perisic,"€ 203,828","€ 10,599,038","€ 10,599,038",M,34,Croatia,Tottenham
Trent Alexander-Arnold,"€ 203,828","€ 10,599,038","€ 10,599,038",D,25,England,Liverpool
Manuel Akanji,"€ 203,828","€ 10,599,038","€ 10,599,038",D,28,Switzerland,Manchester City
Kyle Walker,"€ 198,166","€ 10,304,621","€ 10,304,621",D,33,England,Manchester City
Marc Cucurella,"€ 198,166","€ 10,304,621","€ 10,304,621",D,25,Spain,Chelsea
James Maddison,"€ 192,504","€ 10,010,203","€ 10,010,203",F,27,England,Tottenham
Cristian Romero,"€ 186,842","€ 9,715,785","€ 9,715,785",D,25,Argentina,Tottenham
Timo Werner,"€ 186,842","€ 9,715,785","€ 9,715,785",F,27,Germany,Tottenham
Ansu Fati,"€ 181,180","€ 9,421,367","€ 9,421,367",F,21,Spain,Brighton
Bruno Guimarães,"€ 181,180","€ 9,421,367","€ 9,421,367",M,26,Brazil,Newcastle
Andrew Robertson,"€ 181,180","€ 9,421,367","€ 9,421,367",D,29,Scotland,Liverpool
Nathan Aké,"€ 181,180","€ 9,421,367","€ 9,421,367",D,28,Netherlands,Manchester City
