match_id,date,home_team,away_team,home_goals,away_goals,dr_pre,p_home,p_draw,p_away,k_eff,home_elo_post,away_elo_post
19342,2022-08-05 18:30:00,Eintracht Frankfurt,Bayern Munich,1,6,60.0,0.4133,0.326,-0.1525,1.588,1499.08,1500.92
19343,2022-08-06 13:30:00,Union Berlin,Hertha Berlin,3,1,60.0,0.4133,0.326,-0.1525,1.084,1500.46,1499.54
19344,2022-08-06 13:30:00,Borussia M.Gladbach,Hoffenheim,3,1,60.0,0.4133,0.326,-0.1525,1.084,1500.46,1499.54
19345,2022-08-06 13:30:00,Wolfsburg,Werder Bremen,2,2,60.0,0.4133,0.326,-0.1525,1.013,1499.92,1500.08
19346,2022-08-06 13:30:00,Bochum,Mainz 05,1,2,60.0,0.4133,0.326,-0.1525,0.684,1499.61,1500.39
19347,2022-08-06 13:30:00,Augsburg,Freiburg,0,4,60.0,0.4133,0.326,-0.1525,1.588,1499.08,1500.92
19348,2022-08-06 16:30:00,Borussia Dortmund,Bayer Leverkusen,1,0,60.0,0.4133,0.326,-0.1525,0.686,1500.29,1499.71
19349,2022-08-07 13:30:00,VfB Stuttgart,RasenBallsport Leipzig,1,1,60.0,0.4133,0.326,-0.1525,1.016,1499.92,1500.08
19350,2022-08-07 15:30:00,FC Cologne,Schalke 04,3,1,60.0,0.4133,0.326,-0.1525,1.087,1500.46,1499.54
19351,2022-08-12 18:30:00,Freiburg,Borussia Dortmund,1,3,60.62,0.4144,0.3253,-0.1542,1.105,1500.28,1500.93
19352,2022-08-13 13:30:00,Bayer Leverkusen,Augsburg,1,2,60.62,0.4144,0.3253,-0.1542,0.697,1499.31,1499.49
19353,2022-08-13 13:30:00,RasenBallsport Leipzig,FC Cologne,2,2,59.62,0.4126,0.3264,-0.1515,1.033,1500.0,1500.54
19354,2022-08-13 13:30:00,Werder Bremen,VfB Stuttgart,2,2,60.15,0.4136,0.3258,-0.1529,1.033,1500.0,1500.0
19355,2022-08-13 13:30:00,Hoffenheim,Bochum,3,2,59.93,0.4132,0.326,-0.1523,0.697,1499.84,1499.31
19356,2022-08-13 13:30:00,Hertha Berlin,Eintracht Frankfurt,1,1,60.46,0.4141,0.3255,-0.1537,1.033,1499.46,1499.16
19357,2022-08-13 16:30:00,Schalke 04,Borussia M.Gladbach,2,2,59.08,0.4116,0.3269,-0.15,1.036,1499.46,1500.54
19358,2022-08-14 13:30:00,Mainz 05,Union Berlin,0,0,59.93,0.4132,0.326,-0.1523,1.036,1500.32,1500.54
19359,2022-08-14 15:30:00,Bayern Munich,Wolfsburg,2,0,60.99,0.4151,0.3249,-0.1552,1.107,1501.38,1499.45
19360,2022-08-19 18:30:00,Borussia M.Gladbach,Hertha Berlin,1,0,61.08,0.4153,0.3248,-0.1554,0.71,1500.84,1499.16
19361,2022-08-20 13:30:00,Wolfsburg,Schalke 04,0,0,59.99,0.4133,0.326,-0.1525,1.053,1499.37,1499.54
19362,2022-08-20 13:30:00,Augsburg,Mainz 05,1,2,59.17,0.4117,0.3268,-0.1503,0.711,1499.08,1500.72
19363,2022-08-20 13:30:00,VfB Stuttgart,Freiburg,0,1,59.72,0.4128,0.3262,-0.1518,0.711,1499.59,1500.69
19364,2022-08-20 13:30:00,Borussia Dortmund,Werder Bremen,2,3,60.93,0.415,0.325,-0.155,0.71,1500.52,1500.41
19365,2022-08-20 13:30:00,Bayer Leverkusen,Hoffenheim,0,3,59.47,0.4123,0.3265,-0.1511,1.422,1498.49,1500.65
19366,2022-08-20 16:30:00,Union Berlin,RasenBallsport Leipzig,2,1,60.54,0.4143,0.3254,-0.154,0.712,1500.84,1499.7
19367,2022-08-21 13:30:00,Eintracht Frankfurt,FC Cologne,1,1,58.63,0.4107,0.3274,-0.1488,1.056,1499.09,1500.62
19368,2022-08-21 15:30:00,Bochum,Bayern Munich,0,7,57.93,0.4094,0.3281,-0.147,1.656,1498.36,1502.33
19369,2022-08-26 18:30:00,Freiburg,Bochum,1,0,62.33,0.4176,0.3235,-0.1588,0.724,1500.99,1498.06
19370,2022-08-27 13:30:00,RasenBallsport Leipzig,Wolfsburg,2,0,60.32,0.4139,0.3256,-0.1534,1.148,1500.18,1498.89
19371,2022-08-27 13:30:00,Mainz 05,Bayer Leverkusen,0,3,62.23,0.4174,0.3236,-0.1585,1.447,1499.89,1499.33
19372,2022-08-27 13:30:00,Hoffenheim,Augsburg,1,0,61.58,0.4162,0.3243,-0.1568,0.724,1500.96,1498.77
19373,2022-08-27 13:30:00,Hertha Berlin,Borussia Dortmund,0,1,58.64,0.4108,0.3274,-0.1489,0.725,1498.75,1500.93
19374,2022-08-27 13:30:00,Schalke 04,Union Berlin,1,6,58.7,0.4109,0.3273,-0.149,1.683,1498.58,1501.81
19375,2022-08-27 16:30:00,Bayern Munich,Borussia M.Gladbach,1,1,61.5,0.4161,0.3244,-0.1565,1.076,1502.25,1500.92
19376,2022-08-28 13:30:00,FC Cologne,VfB Stuttgart,0,0,61.03,0.4152,0.3249,-0.1553,1.076,1500.53,1499.68
19377,2022-08-28 15:30:00,Werder Bremen,Eintracht Frankfurt,3,4,61.32,0.4157,0.3246,-0.1561,0.726,1499.99,1499.51
19378,2022-09-02 18:30:00,Borussia Dortmund,Hoffenheim,1,0,59.97,0.4132,0.326,-0.1525,0.738,1501.25,1500.65
19379,2022-09-03 13:30:00,Bayer Leverkusen,Freiburg,2,3,58.34,0.4102,0.3277,-0.1481,0.739,1498.9,1501.42
19380,2022-09-03 13:30:00,Union Berlin,Bayern Munich,1,1,59.56,0.4125,0.3264,-0.1513,1.094,1501.72,1502.33
19381,2022-09-03 13:30:00,VfB Stuttgart,Schalke 04,1,1,61.1,0.4153,0.3248,-0.1555,1.094,1499.59,1498.66
19382,2022-09-03 13:30:00,Wolfsburg,FC Cologne,2,4,58.35,0.4102,0.3277,-0.1481,1.171,1498.22,1501.21
19383,2022-09-03 13:30:00,Bochum,Werder Bremen,0,2,58.07,0.4097,0.3279,-0.1473,1.171,1497.38,1500.66
19384,2022-09-03 16:30:00,Eintracht Frankfurt,RasenBallsport Leipzig,4,0,59.32,0.412,0.3267,-0.1507,1.72,1500.24,1499.45
19385,2022-09-04 13:30:00,Augsburg,Hertha Berlin,0,2,60.03,0.4133,0.3259,-0.1526,1.173,1498.1,1499.42
19386,2022-09-04 15:30:00,Borussia M.Gladbach,Mainz 05,0,1,61.04,0.4152,0.3249,-0.1553,0.74,1500.49,1500.31
19387,2022-09-09 18:30:00,Werder Bremen,Augsburg,0,1,62.56,0.4181,0.3233,-0.1594,0.752,1500.22,1498.53
19388,2022-09-10 13:30:00,Bayern Munich,VfB Stuttgart,2,2,62.74,0.4184,0.3231,-0.1599,1.115,1502.24,1499.68
19389,2022-09-10 13:30:00,RasenBallsport Leipzig,Borussia Dortmund,3,0,58.21,0.4099,0.3278,-0.1477,1.507,1500.1,1500.61
19390,2022-09-10 13:30:00,Hoffenheim,Mainz 05,4,1,60.33,0.4139,0.3256,-0.1534,1.505,1501.28,1499.68
19391,2022-09-10 13:30:00,Eintracht Frankfurt,Wolfsburg,0,1,62.02,0.417,0.3239,-0.158,0.752,1499.8,1498.65
19392,2022-09-10 13:30:00,Hertha Berlin,Bayer Leverkusen,2,2,60.52,0.4142,0.3254,-0.1539,1.115,1499.34,1498.99
19393,2022-09-10 16:30:00,Schalke 04,Bochum,3,1,61.28,0.4157,0.3246,-0.156,1.196,1499.16,1496.88
19394,2022-09-11 13:30:00,FC Cologne,Union Berlin,0,1,59.48,0.4123,0.3265,-0.1511,0.755,1500.77,1502.16
19395,2022-09-11 15:30:00,Freiburg,Borussia M.Gladbach,0,0,60.92,0.415,0.325,-0.155,1.119,1501.33,1500.58
19396,2022-09-16 18:30:00,Mainz 05,Hertha Berlin,1,1,60.34,0.4139,0.3256,-0.1534,1.137,1499.59,1499.42
19397,2022-09-17 13:30:00,Borussia Dortmund,Schalke 04,1,0,61.44,0.416,0.3245,-0.1564,0.767,1500.93,1498.84
19398,2022-09-17 13:30:00,Bayer Leverkusen,Werder Bremen,1,1,58.76,0.411,0.3272,-0.1492,1.137,1498.9,1500.31
19399,2022-09-17 13:30:00,Augsburg,Bayern Munich,1,0,56.29,0.4064,0.3298,-0.1426,0.769,1498.86,1501.91
19400,2022-09-17 13:30:00,VfB Stuttgart,Eintracht Frankfurt,1,3,59.88,0.4131,0.3261,-0.1522,1.216,1498.98,1500.5
19401,2022-09-17 16:30:00,Borussia M.Gladbach,RasenBallsport Leipzig,3,0,60.48,0.4142,0.3255,-0.1538,1.538,1501.23,1499.44
19402,2022-09-18 13:30:00,Union Berlin,Wolfsburg,2,0,63.51,0.4198,0.3223,-0.162,1.217,1502.67,1498.14
19403,2022-09-18 15:30:00,Bochum,FC Cologne,1,1,56.11,0.4061,0.33,-0.1421,1.14,1496.8,1500.85
19404,2022-09-18 17:30:00,Hoffenheim,Freiburg,0,0,59.96,0.4132,0.326,-0.1524,1.143,1501.2,1501.42
19405,2022-09-30 18:30:00,Bayern Munich,Bayer Leverkusen,4,0,63.01,0.4189,0.3228,-0.1606,1.849,1502.69,1498.13
19406,2022-10-01 13:30:00,RasenBallsport Leipzig,Bochum,4,0,62.65,0.4182,0.3232,-0.1596,1.849,1500.22,1496.02
19407,2022-10-01 13:30:00,Freiburg,Mainz 05,2,1,61.83,0.4167,0.3241,-0.1574,0.797,1501.75,1499.25
19408,2022-10-01 13:30:00,FC Cologne,Borussia Dortmund,3,2,59.92,0.4131,0.326,-0.1523,0.797,1501.19,1500.59
19409,2022-10-01 13:30:00,Eintracht Frankfurt,Union Berlin,2,0,57.83,0.4093,0.3282,-0.1467,1.265,1501.04,1502.13
19410,2022-10-01 13:30:00,Wolfsburg,VfB Stuttgart,3,2,59.16,0.4117,0.3268,-0.1503,0.798,1498.48,1498.64
19413,2022-10-01 16:30:00,Werder Bremen,Borussia M.Gladbach,5,1,59.08,0.4116,0.3269,-0.15,1.857,1501.1,1500.44
19411,2022-10-02 13:30:00,Hertha Berlin,Hoffenheim,1,1,58.23,0.41,0.3278,-0.1478,1.185,1499.34,1501.28
19412,2022-10-02 15:30:00,Schalke 04,Augsburg,2,3,59.98,0.4132,0.326,-0.1525,0.799,1498.38,1499.32
19417,2022-10-07 18:30:00,Hoffenheim,Werder Bremen,1,2,60.19,0.4136,0.3258,-0.153,0.813,1500.82,1501.57
19415,2022-10-08 13:30:00,Bayer Leverkusen,Schalke 04,4,0,59.75,0.4128,0.3262,-0.1518,1.887,1498.93,1497.58
19416,2022-10-08 13:30:00,Mainz 05,RasenBallsport Leipzig,1,1,59.03,0.4115,0.327,-0.1499,1.204,1499.16,1500.31
