team,final_elo,played,wins,draws,losses
Bayern Munich,1676.66,109,76,18,15
Bayer Leverkusen,1591.27,109,65,28,16
Borussia Dortmund,1583.23,109,61,22,26
VfB Stuttgart,1555.43,109,49,24,36
RasenBallsport Leipzig,1553.99,109,57,27,25
Eintracht Frankfurt,1537.06,109,44,35,30
Freiburg,1502.66,109,46,27,36
Werder Bremen,1497.61,109,37,26,46
Hamburger SV,1496.95,7,2,2,3
Schalke 04,1495.19,34,7,10,17
Hertha Berlin,1494.69,34,7,8,19
FC Cologne,1493.4,75,18,26,31
Mainz 05,1481.93,109,34,35,40
Hoffenheim,1479.87,109,33,25,51
Union Berlin,1472.1,109,40,26,43
Darmstadt,1470.99,34,3,8,23
Augsburg,1466.65,109,32,27,50
Wolfsburg,1455.07,109,35,29,45
Holstein Kiel,1451.83,34,6,7,21
St. Pauli,1448.89,41,10,9,22
Borussia M.Gladbach,1439.63,109,31,32,46
Bochum,1435.01,102,22,25,55
FC Heidenheim,1419.9,75,19,18,38
