team,final_elo,played,wins,draws,losses
Arsenal,1620.05,122,80,26,16
Manchester City,1607.9,122,82,21,19
Liverpool,1587.96,122,73,29,20
Chelsea,1564.74,122,53,31,38
Crystal Palace,1542.54,122,40,40,42
Aston Villa,1538.27,122,60,27,35
Bournemouth,1536.46,122,43,29,50
Newcastle United,1536.08,122,59,29,34
Brighton,1532.9,122,49,36,37
Sunderland,1512.17,8,4,2,2
Brentford,1511.49,122,44,32,46
Everton,1505.95,122,35,38,49
Tottenham,1504.58,122,53,19,50
Manchester United,1495.65,122,56,22,44
Luton,1477.82,38,6,8,24
Fulham,1476.75,122,45,26,51
Leeds,1473.34,46,9,12,25
Sheffield United,1464.46,38,3,7,28
Burnley,1462.06,46,7,10,29
Nottingham Forest,1460.16,122,38,30,54
West Ham,1428.42,122,37,28,57
Wolverhampton Wanderers,1427.56,122,36,23,63
Leicester,1420.34,76,15,14,47
Ipswich,1418.98,38,4,10,24
Southampton,1393.39,76,8,13,55
