team,final_elo,played,wins,draws,losses
Real Madrid,1642.1,123,87,20,16
Barcelona,1642.04,123,89,16,18
Atletico Madrid,1594.54,123,73,26,24
Villarreal,1563.14,123,58,30,35
Real Betis,1551.32,123,51,40,32
Athletic Club,1539.37,123,56,35,32
Elche,1507.1,47,8,15,24
Espanyol,1503.91,85,23,25,37
Rayo Vallecano,1502.51,123,37,39,47
Osasuna,1497.01,123,42,34,47
Valencia,1492.95,123,37,35,51
Alaves,1492.51,85,25,25,35
Celta Vigo,1484.3,123,37,35,51
Sevilla,1482.63,123,37,33,53
Cadiz,1481.57,76,16,27,33
Levante,1479.89,9,2,2,5
Almeria,1477.67,76,14,20,42
Granada,1475.79,38,4,9,25
Leganes,1474.88,38,9,13,16
Mallorca,1472.15,123,37,35,51
Getafe,1469.0,123,34,36,53
Real Sociedad,1460.93,123,51,30,42
Las Palmas,1444.92,76,18,18,40
Real Oviedo,1441.25,9,2,0,7
Girona,1433.82,123,50,27,46
Real Valladolid,1392.7,76,15,11,50
