match_id,date,home_team,away_team,home_goals,away_goals,dr_pre,p_home,p_draw,p_away,k_eff,home_elo_post,away_elo_post
19648,2022-08-05 19:00:00,Lyon,Ajaccio,2,1,60.0,0.4133,0.326,-0.1525,0.684,1500.29,1499.71
19649,2022-08-06 15:00:00,Strasbourg,Monaco,1,2,60.0,0.4133,0.326,-0.1525,0.684,1499.61,1500.39
19650,2022-08-06 19:00:00,Clermont Foot,Paris Saint Germain,0,5,60.0,0.4133,0.326,-0.1525,1.592,1499.08,1500.92
19651,2022-08-07 11:00:00,Toulouse,Nice,1,1,60.0,0.4133,0.326,-0.1525,1.016,1499.92,1500.08
19652,2022-08-07 13:00:00,Lille,Auxerre,4,1,60.0,0.4133,0.326,-0.1525,1.371,1500.58,1499.42
19653,2022-08-07 13:00:00,Montpellier,Troyes,3,2,60.0,0.4133,0.326,-0.1525,0.686,1500.29,1499.71
19654,2022-08-07 13:00:00,Angers,Nantes,0,0,60.0,0.4133,0.326,-0.1525,1.016,1499.92,1500.08
19655,2022-08-07 13:00:00,Lens,Brest,3,2,60.0,0.4133,0.326,-0.1525,0.686,1500.29,1499.71
19656,2022-08-07 15:05:00,Rennes,Lorient,0,1,60.0,0.4133,0.326,-0.1525,0.686,1499.6,1500.4
19657,2022-08-07 18:45:00,Marseille,Reims,4,1,60.0,0.4133,0.326,-0.1525,1.371,1500.58,1499.42
19658,2022-08-12 19:00:00,Nantes,Lille,1,1,59.5,0.4123,0.3265,-0.1512,1.033,1500.0,1500.66
19659,2022-08-13 15:00:00,Monaco,Rennes,1,1,60.79,0.4148,0.3251,-0.1546,1.033,1500.31,1499.68
19660,2022-08-13 19:00:00,Paris Saint Germain,Montpellier,5,2,60.63,0.4144,0.3253,-0.1542,1.398,1501.51,1499.7
19662,2022-08-14 13:00:00,Ajaccio,Lens,0,0,59.42,0.4122,0.3266,-0.151,1.036,1499.63,1500.37
19663,2022-08-14 13:00:00,Auxerre,Angers,2,2,59.5,0.4123,0.3265,-0.1512,1.036,1499.34,1500.0
19664,2022-08-14 13:00:00,Reims,Clermont Foot,2,4,60.34,0.4139,0.3256,-0.1534,1.108,1498.78,1499.72
