match_id,date,home_team,away_team,home_goals,away_goals,dr_pre,p_home,p_draw,p_away,k_eff,home_elo_post,away_elo_post
18582,2022-08-13 16:30:00,AC Milan,Udinese,4,2,60.0,0.4133,0.326,-0.1525,1.102,1500.47,1499.53
18583,2022-08-13 16:30:00,Sampdoria,Atalanta,0,2,60.0,0.4133,0.326,-0.1525,1.102,1499.37,1500.63
18584,2022-08-13 18:45:00,Monza,Torino,1,2,60.0,0.4133,0.326,-0.1525,0.695,1499.6,1500.4
18585,2022-08-13 18:45:00,Lecce,Inter,1,2,60.0,0.4133,0.326,-0.1525,0.695,1499.6,1500.4
18586,2022-08-14 16:30:00,Lazio,Bologna,2,1,60.0,0.4133,0.326,-0.1525,0.697,1500.3,1499.7
18587,2022-08-14 16:30:00,Fiorentina,Cremonese,3,2,60.0,0.4133,0.326,-0.1525,0.697,1500.3,1499.7
18588,2022-08-14 18:45:00,Spezia,Empoli,1,0,60.0,0.4133,0.326,-0.1525,0.697,1500.3,1499.7
18589,2022-08-14 18:45:00,Salernitana,Roma,0,1,60.0,0.4133,0.326,-0.1525,0.697,1499.6,1500.4
18590,2022-08-15 16:30:00,Verona,Napoli,2,5,60.0,0.4133,0.326,-0.1525,1.398,1499.19,1500.81
18591,2022-08-15 18:45:00,Juventus,Sassuolo,3,0,60.0,0.4133,0.326,-0.1525,1.398,1500.59,1499.41
18592,2022-08-20 16:30:00,Torino,Lazio,0,0,60.11,0.4135,0.3258,-0.1528,1.05,1500.32,1500.38
18593,2022-08-20 16:30:00,Udinese,Salernitana,0,0,59.93,0.4132,0.326,-0.1523,1.05,1499.45,1499.68
18594,2022-08-20 18:45:00,Inter,Spezia,3,0,60.11,0.4135,0.3258,-0.1528,1.417,1501.0,1499.7
18595,2022-08-20 18:45:00,Sassuolo,Lecce,1,0,59.81,0.4129,0.3262,-0.152,0.709,1499.71,1499.3
18596,2022-08-21 16:30:00,Napoli,Monza,4,0,61.21,0.4155,0.3247,-0.1558,1.649,1501.5,1498.9
18597,2022-08-21 16:30:00,Empoli,Fiorentina,0,0,59.41,0.4122,0.3266,-0.1509,1.053,1499.63,1500.37
18598,2022-08-21 18:45:00,Bologna,Verona,1,1,60.51,0.4142,0.3254,-0.1539,1.053,1499.62,1499.28
18599,2022-08-21 18:45:00,Atalanta,AC Milan,1,1,60.17,0.4136,0.3258,-0.153,1.053,1500.55,1500.55
18600,2022-08-22 16:30:00,Roma,Cremonese,1,0,60.7,0.4146,0.3252,-0.1544,0.712,1500.7,1499.4
18601,2022-08-22 18:45:00,Sampdoria,Juventus,0,0,58.77,0.411,0.3272,-0.1492,1.056,1499.29,1500.67
18602,2022-08-26 16:30:00,Monza,Udinese,1,2,59.45,0.4123,0.3265,-0.151,0.721,1498.49,1499.87
18603,2022-08-26 18:45:00,Lazio,Inter,3,1,59.37,0.4121,0.3266,-0.1508,1.142,1500.86,1500.52
18604,2022-08-27 16:30:00,Juventus,Roma,1,1,59.97,0.4132,0.326,-0.1524,1.071,1500.59,1500.78
18605,2022-08-27 16:30:00,Cremonese,Torino,1,2,59.08,0.4116,0.3269,-0.1501,0.723,1498.99,1500.74
18606,2022-08-27 18:45:00,AC Milan,Bologna,2,0,60.92,0.415,0.325,-0.155,1.144,1501.03,1499.14
18607,2022-08-27 18:45:00,Spezia,Sassuolo,2,2,59.99,0.4133,0.326,-0.1525,1.071,1499.61,1499.79
18608,2022-08-28 16:30:00,Salernitana,Sampdoria,4,0,60.39,0.414,0.3255,-0.1536,1.682,1500.39,1498.57
18609,2022-08-28 16:30:00,Verona,Atalanta,0,1,58.72,0.4109,0.3273,-0.1491,0.725,1498.86,1500.97
18610,2022-08-28 18:45:00,Lecce,Empoli,1,1,59.67,0.4127,0.3263,-0.1516,1.074,1499.22,1499.71
18611,2022-08-28 18:45:00,Fiorentina,Napoli,0,0,58.87,0.4112,0.3271,-0.1495,1.074,1500.29,1501.58
18612,2022-08-30 16:30:00,Sassuolo,AC Milan,0,0,58.76,0.411,0.3272,-0.1492,1.079,1499.71,1501.11
18613,2022-08-30 18:45:00,Roma,Monza,3,0,62.3,0.4176,0.3236,-0.1587,1.455,1501.4,1497.88
18614,2022-08-30 18:45:00,Inter,Cremonese,3,1,61.53,0.4161,0.3244,-0.1566,1.154,1501.0,1498.5
18615,2022-08-31 16:30:00,Empoli,Verona,1,1,60.85,0.4149,0.3251,-0.1548,1.082,1499.62,1498.94
18616,2022-08-31 16:30:00,Sampdoria,Lazio,1,1,57.71,0.409,0.3283,-0.1464,1.082,1498.5,1500.94
18617,2022-08-31 16:30:00,Udinese,Fiorentina,1,0,59.57,0.4125,0.3264,-0.1514,0.73,1500.18,1499.98
18618,2022-08-31 18:45:00,Napoli,Lecce,1,1,62.36,0.4177,0.3235,-0.1589,1.082,1501.5,1499.3
18619,2022-08-31 18:45:00,Juventus,Spezia,2,0,60.98,0.4151,0.3249,-0.1551,1.157,1501.08,1499.12
18620,2022-09-01 18:45:00,Atalanta,Torino,3,1,60.23,0.4137,0.3257,-0.1532,1.161,1501.46,1500.24
18621,2022-09-01 18:45:00,Bologna,Salernitana,1,1,58.75,0.411,0.3272,-0.1492,1.085,1499.06,1500.47
18622,2022-09-03 13:00:00,Fiorentina,Juventus,1,1,58.91,0.4112,0.3271,-0.1496,1.091,1499.9,1501.16
18623,2022-09-03 16:00:00,AC Milan,Inter,3,2,60.11,0.4135,0.3258,-0.1528,0.736,1501.42,1500.69
18624,2022-09-03 18:45:00,Lazio,Napoli,1,2,59.44,0.4122,0.3265,-0.151,0.737,1500.52,1501.92
18625,2022-09-04 10:30:00,Cremonese,Sassuolo,0,0,58.79,0.411,0.3272,-0.1493,1.094,1498.42,1499.79
18626,2022-09-04 13:00:00,Spezia,Bologna,2,2,60.07,0.4134,0.3259,-0.1527,1.094,1499.04,1499.14
18627,2022-09-04 16:00:00,Verona,Sampdoria,2,1,60.45,0.4141,0.3255,-0.1537,0.738,1499.26,1498.18
18628,2022-09-04 18:45:00,Udinese,Roma,4,0,58.78,0.411,0.3272,-0.1492,1.715,1500.91,1500.67
18629,2022-09-05 16:30:00,Monza,Atalanta,0,2,56.41,0.4066,0.3297,-0.1429,1.175,1497.2,1502.13
18630,2022-09-05 16:30:00,Salernitana,Empoli,2,2,60.85,0.4149,0.3251,-0.1548,1.097,1500.39,1499.71
18631,2022-09-05 18:45:00,Torino,Lecce,1,0,60.94,0.415,0.325,-0.155,0.74,1500.56,1498.99
