team,final_elo,played,wins,draws,losses
Inter,1620.12,121,81,19,21
Napoli,1586.51,121,70,30,21
AC Milan,1582.51,121,65,29,27
Atalanta,1582.2,121,64,26,31
Roma,1576.62,121,61,27,33
Juventus,1556.44,121,62,39,20
Bologna,1552.38,121,52,41,28
Lazio,1534.32,121,60,28,33
Como,1533.46,45,16,13,16
Fiorentina,1501.14,121,51,31,39
Cremonese,1494.64,45,7,16,22
Spezia,1493.77,38,6,13,19
Sampdoria,1491.07,38,3,10,25
Frosinone,1486.09,38,8,11,19
Sassuolo,1484.74,83,22,19,42
Torino,1477.33,121,39,41,41
Salernitana,1469.04,76,11,26,39
Pisa,1465.35,7,0,3,4
Parma Calcio 1913,1465.06,45,8,18,19
Venezia,1458.05,38,5,14,19
Cagliari,1457.94,83,19,23,41
Udinese,1455.73,121,31,43,47
Genoa,1453.26,83,22,29,32
Empoli,1444.92,114,25,35,54
Lecce,1436.36,121,25,39,57
Verona,1431.11,121,26,32,63
Monza,1409.83,114,28,31,55
